product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank
1491530510,Rain Reign,Books,1,7,8,0,0,5.0,7.0,8.0,,,40.0,4.444444444444445,16.0,0.875,0.0,0.0,0.788978897889789
B006TRTKJ0,The Boy in the Striped Pyjamas,Video_DVD,2,2,2,0,0,4.0,1.0,1.0,,,8.0,4.0,-8.0,1.0,0.0,0.0,0.9479305740987984
B00004VYDK,Jean de Florette,Video_DVD,2,0,0,0,0,5.0,0.0,0.0,,,5.0,5.0,3.0,,0.0,0.0,0.9303632914060853
B000EZ9084,Survival Island,Video_DVD,72,358,567,56,0,3.6944444444444446,4.972222222222222,7.875,3.9107142857142856,,22.76388888888889,2.313997378538787,4.527777777777778,0.6313932980599647,0.7777777777777778,0.0,0.08207434474035556
B004PRSZZG,The Lost Thing,Video_DVD,2,16,17,0,0,5.0,8.0,8.5,,,45.0,4.722222222222222,20.0,0.9411764705882353,0.0,0.0,0.600660529829246
B007MCUAD6,Superman vs. The Elite,Video_DVD,54,128,514,33,0,4.166666666666667,2.3703703703703702,9.518518518518519,4.333333333333333,,14.055555555555555,3.0149549726011506,8.425925925925926,0.2490272373540856,0.6111111111111112,0.0,0.600660529829246
0143058843,"The Big Over Easy (Nursery Crime, #1)",Books,1,3,4,0,0,5.0,3.0,4.0,,,20.0,4.0,-5.0,0.75,0.0,0.0,0.33423342334233425
6305841861,Evil Dead II,Video_DVD,367,704,1811,72,0,4.523160762942779,1.9182561307901906,4.9346049046321525,4.569444444444445,,13.06267029972752,3.2491580708922494,0.1600547195622435,0.3887355052457206,0.19618528610354224,0.0,0.9094230904363713
B0036VH972,The Girl on the Train,Video_DVD,8,25,39,2,0,3.625,3.125,4.875,4.0,,14.125,2.5357142857142856,5.5,0.6410256410256411,0.25,0.0,0.43391188251001334
B00009AVA4,Little Giants,Video_DVD,58,136,250,26,0,3.8448275862068964,2.3448275862068964,4.310344827586207,4.076923076923077,,13.89655172413793,3.27291694584453,5.9655172413793105,0.544,0.4482758620689655,0.0,0.35577260909282554
B002ZG97CO,Daybreakers,Video_DVD,143,126,251,67,0,3.909090909090909,0.8811188811188811,1.7552447552447552,4.402985074626866,,6.846153846153846,2.7238758910087584,6.573426573426573,0.50199203187251,0.46853146853146854,0.0,0.35577260909282554
B000JLQPYU,Altered,Video_DVD,69,228,496,24,0,3.536231884057971,3.3043478260869565,7.188405797101449,3.8333333333333335,,16.391304347826086,2.394195896620872,1.8115942028985508,0.4596774193548387,0.34782608695652173,0.0,0.09394982784062961
B00RUT3C5O,You're Not You,Video_DVD,28,17,31,21,0,3.892857142857143,0.6071428571428571,1.1071428571428572,3.9523809523809526,,5.321428571428571,3.5714285714285716,5.214285714285714,0.5483870967741935,0.75,0.0,0.857213126273628
0767837991,Shakes the Clown,Video_DVD,74,257,359,54,0,4.297297297297297,3.472972972972973,4.851351351351352,4.314814814814815,,18.37837837837838,3.634135689881658,4.378378378378378,0.7158774373259053,0.7297297297297297,0.0,0.19584006745836555
B00005JLWR,National Security,Video_DVD,10,49,74,0,0,3.6,4.9,7.4,,,23.8,2.2897558922558923,6.9,0.6621621621621622,0.0,0.0,0.19584006745836555
B004H1HJ4S,Barbie: A Fairy Secret,Video_DVD,94,241,365,60,0,3.6808510638297873,2.5638297872340425,3.882978723404255,4.45,,8.97872340425532,2.9220572494195776,6.74468085106383,0.6602739726027397,0.6382978723404256,0.0,0.17075398777317125
B0064SVODY,All Things Fall Apart,Video_DVD,34,40,57,19,0,4.176470588235294,1.1764705882352942,1.6764705882352942,4.421052631578948,,9.382352941176471,3.801470588235294,5.882352941176471,0.7017543859649122,0.5588235294117647,0.0,0.17075398777317125
B0000E32V2,Jet Lag,Video_DVD,33,94,129,12,0,4.121212121212121,2.8484848484848486,3.909090909090909,4.583333333333333,,15.181818181818182,3.423330061053846,6.515151515151516,0.7286821705426356,0.36363636363636365,0.0,0.2538121003443187
B00005JLL2,Ballistic: Ecks vs. Sever,Video_DVD,21,30,72,0,0,2.5714285714285716,1.4285714285714286,3.4285714285714284,,,6.714285714285714,1.5638888888888889,4.380952380952381,0.4166666666666667,0.0,0.0,0.037172370177780904
B0015PYPUK,Hellgate: London,Video_Games,4,1,2,4,0,4.0,0.25,0.5,4.0,,5.25,3.875,3.75,0.5,1.0,0.0,0.46238938053097345
0394865707,The Berenstain Bears and Too Much TV,Books,55,96,133,36,0,4.454545454545454,1.7454545454545454,2.418181818181818,4.638888888888889,,10.963636363636363,4.145735930735931,4.581818181818182,0.7218045112781954,0.6545454545454545,0.0,0.4667466746674667
B00007GZRK,10 to Midnight,Video_DVD,31,84,113,13,0,4.161290322580645,2.7096774193548385,3.6451612903225805,4.6923076923076925,,14.096774193548388,3.464544425580079,0.5161290322580645,0.7433628318584071,0.41935483870967744,0.0,0.3942800927552526
B00005MHOD,Masters of the Universe,Video_DVD,148,363,579,59,0,4.047297297297297,2.4527027027027026,3.9121621621621623,4.271186440677966,,14.04054054054054,3.3108925478466302,9.635135135135135,0.6269430051813472,0.39864864864864863,0.0,0.11088468835640503
0755362608,The Astronaut Wives Club,Books,2,3,3,2,0,3.0,1.5,1.5,3.0,,6.5,3.0,12.0,1.0,1.0,0.0,0.008100810081008101
B008JFUS0U,Thor: The Dark World,Video_DVD,1300,1600,3430,1168,0,4.546153846153846,1.2307692307692308,2.6384615384615384,4.640410958904109,,9.18,2.978017748099051,5.5,0.46647230320699706,0.8984615384615384,0.0,0.6837889115311644
B000A6T1ZY,Pumpkinhead II: Blood Wings,Video_DVD,44,51,103,17,0,3.477272727272727,1.1590909090909092,2.340909090909091,4.411764705882353,,7.181818181818182,2.416540404040404,2.1363636363636362,0.49514563106796117,0.38636363636363635,0.0,0.054809922001264846
B001F2EET0,The 3 Mistakes of My Life,Books,6,10,17,1,0,2.3333333333333335,1.6666666666666667,2.8333333333333335,1.0,,7.333333333333333,1.7305555555555554,4.0,0.5882352941176471,0.16666666666666666,0.0,0.0012001200120012002
B001KEHAE4,Boogeyman 3,Video_DVD,23,25,41,16,0,4.0,1.0869565217391304,1.7826086956521738,4.5,,7.608695652173913,3.510662525879917,1.1304347826086956,0.6097560975609756,0.6956521739130435,0.0,0.04237228585482398
0142403075,Prep,Books,4,6,10,0,0,4.75,1.5,2.5,,,12.25,3.75,7.75,0.6,0.0,0.0,0.014201420142014202
B00003CX8U,All That Jazz,Video_DVD,254,740,2188,130,0,4.47244094488189,2.9133858267716537,8.614173228346457,4.492307692307692,,16.480314960629922,2.8712119258445825,5.811023622047244,0.3382084095063985,0.5118110236220472,0.0,0.857213126273628
B000UDGOA2,Sometimes They Come Back,Video_DVD,20,28,44,16,0,4.55,1.4,2.2,4.5625,,11.05,3.2205026455026458,4.6,0.6363636363636364,0.8,0.0,0.17075398777317125
B00005MKYU,Final Fight One,Video_Games,33,57,75,7,0,4.515151515151516,1.7272727272727273,2.272727272727273,4.857142857142857,,12.393939393939394,4.076046176046177,4.03030303030303,0.76,0.21212121212121213,0.0,0.8087512291052114
B0006N2DSI,The Yes Men,Video_DVD,39,211,429,11,0,3.6923076923076925,5.410256410256411,11.0,4.181818181818182,,22.564102564102566,2.4245886389083475,8.384615384615385,0.49184149184149184,0.28205128205128205,0.0,0.7578525753636427
B000MM1GG8,Crazy Stone,Video_DVD,1,3,3,0,0,5.0,3.0,3.0,,,20.0,5.0,-1.0,1.0,0.0,0.0,0.720609936055091
B006H3KQZ8,VIPs,Video_DVD,1,1,1,1,0,5.0,1.0,1.0,5.0,,10.0,5.0,2.0,1.0,1.0,0.0,0.600660529829246
1491590181,The DUFF: Designated Ugly Fat Friend,Books,1,0,0,1,0,5.0,0.0,0.0,5.0,,5.0,5.0,5.0,,1.0,0.0,0.2601260126012601
0571279430,Open City,Books,1,4,4,0,0,3.0,4.0,4.0,,,15.0,3.0,-3.0,1.0,0.0,0.0,0.034003400340034004
B000HE7KZC,Yoshi's Island DS,Video_Games,140,303,558,85,0,4.3428571428571425,2.164285714285714,3.9857142857142858,4.517647058823529,,12.464285714285714,3.701141917358303,7.114285714285714,0.543010752688172,0.6071428571428571,0.0,0.7819567354965585
B00005R249,Clockwise,Video_DVD,33,78,97,19,0,4.363636363636363,2.3636363636363638,2.9393939393939394,4.526315789473684,,14.121212121212121,4.088406038406038,6.121212121212121,0.8041237113402062,0.5757575757575758,0.0,0.47445717096479517
B0007W1MS0,Izo,Video_DVD,10,25,47,3,0,2.9,2.5,4.7,3.3333333333333335,,10.1,1.8284523809523807,-3.5,0.5319148936170213,0.3,0.0,0.3942800927552526
